ASSET ID,ASSET NAME,RESOURCE ID,Fuel Type,RESOURCE NAME,GENERATOR TYPE,Primary Fuel Type,ALT FUEL TYPE,EIA PLANT NUMBER,Nameplate Capacity (MW)
627,WEST MEDWAY JET 3,627.0,Oil,WEST MEDWAY JET 3,GAS TURBINE,DFO,,1592,49.59974940739563
628,WOODLAND ROAD,628.0,Oil,WOODLAND ROAD,GAS TURBINE,KER,,1643,16.743742566154
630,WEST SPRINGFIELD 10,630.0,Oil,WEST SPRINGFIELD 10,GAS TURBINE,KER,,1642,16.743742566154
636,WYMAN HYDRO 1,636.0,Hydro,WYMAN HYDRO 1,HYDRO: WEEKLY PONDAGE,WAT,,1511,24.313602650684132
637,WYMAN HYDRO 2,637.0,Hydro,WYMAN HYDRO 2,HYDRO: WEEKLY PONDAGE,WAT,,1511,29.552508644055152
638,WYMAN HYDRO 3,638.0,Hydro,WYMAN HYDRO 3,HYDRO: WEEKLY PONDAGE,WAT,,1511,26.744962915752545
641,YARMOUTH 3,641.0,Oil,YARMOUTH 3,STEAM TURBINE,RFO,,1507,113.16420560301007
642,YARMOUTH 4,642.0,Oil,YARMOUTH 4,STEAM TURBINE,RFO,,1507,569.4786043071349
715,ROCHESTER LANDFILL,715.0,LandFill Gas,ROCHESTER LANDFILL,GAS TURBINE,LFG,,2007,4.501618505584073
737,SIMPSON G LOAD REDUCER,737.0,Hydro,SIMPSON G LOAD REDUCER,HYDRO: RUN OF RIVER,WAT,,10608,4.367443439104371
739,ROCKY RIVER,739.0,Hydro,ROCKY RIVER,HYDRO: PUMPED STORAGE,WAT,,539,32.274056259278495
755,BONNY EAGLE/W. BUXTON,755.0,Hydro,BONNY EAGLE W. BUXTON,HYDRO: RUN OF RIVER,WAT,,"1482, 1508",13.62172290015984
757,HARRIS 4,757.0,Hydro,HARRIS 4,HYDRO: WEEKLY PONDAGE,WAT,,1492,1.260705322628066
759,OAKLAND,759.0,Hydro,MESSALONSKEE COMPOSITE,HYDRO: RUN OF RIVER,WAT,,1497,3.151763306570165
760,NORTH GORHAM,760.0,Hydro,NORTH GORHAM,HYDRO: RUN OF RIVER,WAT,,1501,2.5664358353499916
761,SHAWMUT,761.0,Hydro,SHAWMUT,HYDRO: RUN OF RIVER,WAT,,1504,7.9747716190442075
767,SES CONCORD,767.0,Refuse/Woods,SES CONCORD,STEAM TURBINE,MSW,,50873,14.185546340591188
768,GARVINS,768.0,Hydro,GARVINS HOOKSETT,HYDRO: RUN OF RIVER,WAT,,"2357, 2359",10.042418398534423
