Date,Time,Fuel Category,Gen Mw
01/01/2023,05:32:16,Natural Gas,2566.0
01/01/2023,05:32:16,Nuclear,3371.0
01/01/2023,05:32:16,Oil,0.0
01/01/2023,05:32:16,Other,0.0
01/01/2023,05:32:16,Refuse,332.0
01/01/2023,05:32:16,Solar,1.0
01/01/2023,05:32:16,Wind,550.0
01/01/2023,05:32:16,Wood,232.0
01/01/2023,05:35:28,Coal,0.0
01/01/2023,05:35:28,Hydro,1081.0
01/01/2023,05:35:28,Landfill Gas,36.0
01/01/2023,05:35:28,Natural Gas,2591.0
01/01/2023,05:35:28,Nuclear,3372.0
01/01/2023,05:35:28,Oil,0.0
01/01/2023,05:35:28,Other,0.0
01/01/2023,05:35:28,Refuse,334.0
01/01/2023,05:35:28,Solar,1.0
01/01/2023,05:35:28,Wind,547.0
01/01/2023,05:35:28,Wood,231.0
01/01/2023,05:40:39,Coal,0.0
01/01/2023,05:40:39,Hydro,1064.0
01/01/2023,05:40:39,Landfill Gas,36.0
01/01/2023,05:40:39,Natural Gas,2511.0
01/01/2023,05:40:39,Nuclear,3372.0
01/01/2023,05:40:39,Oil,0.0
01/01/2023,05:40:39,Other,16.0
01/01/2023,05:40:39,Refuse,333.0
01/01/2023,05:40:39,Solar,1.0
01/01/2023,05:40:39,Wind,543.0
01/01/2023,05:40:39,Wood,232.0
01/01/2023,05:47:24,Coal,0.0
01/01/2023,05:47:24,Hydro,1063.0
01/01/2023,05:47:24,Landfill Gas,36.0
01/01/2023,05:47:24,Natural Gas,2485.0
01/01/2023,05:47:24,Nuclear,3372.0
01/01/2023,05:47:24,Oil,0.0
01/01/2023,05:47:24,Other,5.0
01/01/2023,05:47:24,Refuse,332.0
01/01/2023,05:47:24,Solar,1.0
01/01/2023,05:47:24,Wind,543.0
01/01/2023,05:47:24,Wood,231.0
01/01/2023,05:52:36,Coal,0.0
01/01/2023,05:52:36,Hydro,1063.0
01/01/2023,05:52:36,Landfill Gas,36.0
01/01/2023,05:52:36,Natural Gas,2694.0
01/01/2023,05:52:36,Nuclear,3372.0
01/01/2023,05:52:36,Oil,0.0
01/01/2023,05:52:36,Other,0.0
01/01/2023,05:52:36,Refuse,339.0
01/01/2023,05:52:36,Solar,1.0
01/01/2023,05:52:36,Wind,537.0
01/01/2023,05:52:36,Wood,232.0
01/01/2023,05:55:16,Coal,0.0
01/01/2023,05:55:16,Hydro,1065.0
01/01/2023,05:55:16,Landfill Gas,36.0
01/01/2023,05:55:16,Natural Gas,2785.0
01/01/2023,05:55:16,Nuclear,3372.0
01/01/2023,05:55:16,Oil,0.0
01/01/2023,05:55:16,Other,0.0
01/01/2023,05:55:16,Refuse,338.0
01/01/2023,05:55:16,Solar,1.0
01/01/2023,05:55:16,Wind,546.0
01/01/2023,05:55:16,Wood,231.0
01/01/2023,05:58:52,Coal,0.0
01/01/2023,05:58:52,Hydro,1114.0
01/01/2023,05:58:52,Landfill Gas,36.0
01/01/2023,05:58:52,Natural Gas,2833.0
01/01/2023,05:58:52,Nuclear,3372.0
01/01/2023,05:58:52,Oil,0.0
01/01/2023,05:58:52,Other,0.0
01/01/2023,05:58:52,Refuse,331.0
01/01/2023,05:58:52,Solar,1.0
01/01/2023,05:58:52,Wind,557.0
01/01/2023,05:58:52,Wood,231.0
01/01/2023,06:07:42,Coal,0.0
01/01/2023,06:07:42,Hydro,1122.0
01/01/2023,06:07:42,Landfill Gas,36.0
01/01/2023,06:07:42,Natural Gas,2789.0
01/01/2023,06:07:42,Nuclear,3372.0
01/01/2023,06:07:42,Oil,0.0
01/01/2023,06:07:42,Other,21.0
01/01/2023,06:07:42,Refuse,334.0
01/01/2023,06:07:42,Solar,1.0
01/01/2023,06:07:42,Wind,585.0
01/01/2023,06:07:42,Wood,231.0
01/01/2023,06:17:18,Coal,0.0
01/01/2023,06:17:18,Hydro,1122.0
01/01/2023,06:17:18,Landfill Gas,36.0
01/01/2023,06:17:18,Natural Gas,2789.0
01/01/2023,06:17:18,Nuclear,3372.0
01/01/2023,06:17:18,Oil,0.0
01/01/2023,06:17:18,Other,21.0
01/01/2023,06:17:18,Refuse,334.0
01/01/2023,06:17:18,Solar,1.0
01/01/2023,06:17:18,Wind,585.0
01/01/2023,06:17:18,Wood,231.0
01/01/2023,06:18:18,Coal,0.0
01/01/2023,06:18:18,Hydro,1125.0
01/01/2023,06:18:18,Landfill Gas,36.0
01/01/2023,06:18:18,Natural Gas,2871.0
01/01/2023,06:18:18,Nuclear,3371.0
01/01/2023,06:18:18,Oil,0.0
01/01/2023,06:18:18,Other,0.0
01/01/2023,06:18:18,Refuse,343.0
01/01/2023,06:18:18,Solar,1.0
01/01/2023,06:18:18,Wind,627.0
01/01/2023,06:18:18,Wood,233.0
01/01/2023,06:28:35,Coal,0.0
01/01/2023,06:28:35,Hydro,1123.0
01/01/2023,06:28:35,Landfill Gas,36.0
01/01/2023,06:28:35,Natural Gas,2921.0
01/01/2023,06:28:35,Nuclear,3372.0
01/01/2023,06:28:35,Oil,0.0
01/01/2023,06:28:35,Other,1.0
01/01/2023,06:28:35,Refuse,341.0
01/01/2023,06:28:35,Solar,1.0
01/01/2023,06:28:35,Wind,652.0
01/01/2023,06:28:35,Wood,234.0
01/01/2023,06:38:50,Coal,0.0
01/01/2023,06:38:50,Hydro,1131.0
01/01/2023,06:38:50,Landfill Gas,36.0
01/01/2023,06:38:50,Natural Gas,2956.0
01/01/2023,06:38:50,Nuclear,3371.0
01/01/2023,06:38:50,Oil,0.0
01/01/2023,06:38:50,Other,0.0
01/01/2023,06:38:50,Refuse,336.0
01/01/2023,06:38:50,Solar,1.0
01/01/2023,06:38:50,Wind,665.0
01/01/2023,06:38:50,Wood,232.0
01/01/2023,06:48:52,Coal,0.0
01/01/2023,06:48:52,Hydro,1131.0
01/01/2023,06:48:52,Landfill Gas,36.0
01/01/2023,06:48:52,Natural Gas,2956.0
01/01/2023,06:48:52,Nuclear,3371.0
01/01/2023,06:48:52,Oil,0.0
01/01/2023,06:48:52,Other,0.0
01/01/2023,06:48:52,Refuse,336.0
01/01/2023,06:48:52,Solar,1.0
01/01/2023,06:48:52,Wind,665.0
01/01/2023,06:48:52,Wood,232.0
01/01/2023,06:50:27,Coal,0.0
01/01/2023,06:50:27,Hydro,1125.0
01/01/2023,06:50:27,Landfill Gas,36.0
